Какое из утверждений наиболее близко описывает ваше отношение к участию в научных конференциях?,Что вас могло бы мотивировать принять участие в научной конференции?,"Как вы считаете, насколько важно для первокурсников участвовать в научных конференциях?",Какие факторы могут вас остановить от участия в научной конференции?,Вам было бы интересно участвовать в научной конференции за границей?Вам было бы интересно участвовать в научной конференции за границей?,"Если бы вы участвовали в научной конференции, вы бы хотели выступать с докладом или просто слушать?",Вы предпочли бы участвовать в конференциях в области вашей специализации или в других областях?,"Вы считаете, что участие в научных конференциях может помочь вам в учебе?",Как часто вы участвовали в школьных конференциях и внеклассных мероприятиях?,Чем вы занимаетесь в свободное время?,Занимаетесь ли вы самообучением ?,По какой причине вы поступили на данную специальность?,Как вы относитесь к публичному выступлению?,Как вы относитесь к возможности общения и сотрудничества с другими студентами в рамках академических мероприятий?
Я активно ищу возможности для участия,Обмен опытом и знаниями,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Хобби,Подписан на курсы,Настояли родители,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я еще не знаю,Только в моей специализации,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Pаботаю,Хожу на доп. занятия,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Я не знаю, что такое научные конференции.",Просто интерес,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Только в моей специализации,"Нет, я не вижу связи","Был(а) практически на каждом, что были",Хобби,Подписан на курсы,Собственный интерес,Обожаю выступать,Не очень хотел бы сильно взаимодействовать с другими
Мне это не интересно,Получение сертификата или диплома,Не очень важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Хобби,Не занимаюсь,От безысходности,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Нейтрально,Нет интереса к теме конференции,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",Никогда,Cпорт,Занимаюсь программированием,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Читаю научную литературу,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Очень важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Нет свободного времени,Подписан на курсы,Актуальная профессия,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы предпочел просто слушать,Только в моей специализации,"Нет, я не вижу связи",В нескольких за все время обучения,Pаботаю,Подписан на курсы,Актуальная профессия,Боюсь выступать,Не очень хотел бы сильно взаимодействовать с другими
Мне это не интересно,Повышение своей квалификации,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Занимаюсь программированием,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Ничем,Не занимаюсь,От безысходности,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
